,Crash Type,Collision Type,Crash Severity,Intersection Type,Crash ID,Crash Year
213760,H,6,4.0,1,1603055,2015.0
213765,B,6,4.0,1,1603061,2015.0
213770,6,6,4.0,4,1603065,2015.0
213774,B,1,4.0,1,1603066,2015.0
213779,8,9,4.0,3,1603067,2015.0
213782,8,9,4.0,4,1603069,2015.0
213787,I,-,4.0,2,1603071,2015.0
213793,B,1,4.0,1,1603088,2015.0
213800,C,5,4.0,3,1603090,2015.0
213805,E,3,4.0,3,1603094,2015.0
213811,6,1,4.0,1,1603097,2015.0
213815,B,6,4.0,1,1603098,2015.0
213821,B,1,4.0,1,1603100,2015.0
213826,C,5,4.0, ,1603106,2015.0
213831,E,3,4.0, ,1603107,2015.0
213841,E,3,4.0,3,1603108,2015.0
213847,B,6,4.0,3,1603111,2015.0
213852,B,1,4.0,1,1603113,2015.0
213858,E,3,4.0,1,1603115,2015.0
213867,H,6,4.0,1,1603116,2015.0
213873,E,3,4.0,1,1603119,2015.0
213880,E,3,4.0,1,1603124,2015.0
213888,H,6,4.0,3,1603126,2015.0
213895,B,1,4.0,1,1603129,2015.0
213903,8,9,4.0, ,1603131,2015.0
213906,B,1,4.0,1,1603133,2015.0
213911,3,0,4.0,1,1603135,2015.0
213915,G,4,4.0, ,1603138,2015.0
213922,E,3,4.0,1,1603141,2015.0
213929,8,9,4.0,4,1603151,2015.0
213932,E,3,4.0, ,1603152,2015.0
213937,H,6,4.0,3,1603154,2015.0
213944,E,3,4.0,1,1603156,2015.0
213949,2,5,4.0, ,1603159,2015.0
213953,D,3,4.0,3,1603167,2015.0
213959,E,3,4.0,1,1603169,2015.0
213964,B,1,4.0,1,1603174,2015.0
213969,E,3,4.0,1,1603177,2015.0
213976,B,1,4.0,1,1603184,2015.0
213982,B,6,4.0,3,1603187,2015.0
213987,B,1,4.0,1,1603190,2015.0
213992,H,6,4.0,1,1603192,2015.0
213997,6,1,4.0,1,1603193,2015.0
214001,8,9,4.0, ,1603196,2015.0
214004,8,9,4.0, ,1603197,2015.0
214007,C,3,4.0, ,1603198,2015.0
214012,8,9,4.0, ,1603200,2015.0
214015,3,0,4.0, ,1603208,2015.0
214019,B,1,4.0,1,1603210,2015.0
214026,H,6,4.0,1,1603215,2015.0
214031,E,3,4.0, ,1603217,2015.0
214036,4,1,4.0,1,1603221,2015.0
214040,2,3,4.0, ,1603222,2015.0
214044,C,3,4.0, ,1603226,2015.0
214050,E,3,4.0, ,1603229,2015.0
214055,E,3,4.0,1,1603234,2015.0
214060,B,1,4.0,1,1603237,2015.0
214065,2,3,4.0, ,1603239,2015.0
214070,B,6,4.0,3,1603240,2015.0
214076,8,9,4.0, ,1603244,2015.0
214079,3,0,4.0,1,1603245,2015.0
214083,H,6,4.0,3,1603246,2015.0
214088,8,9,4.0, ,1603251,2015.0
214091,2,5,4.0, ,1603254,2015.0
214096,3,0,4.0, ,1603260,2015.0
214100,8,9,4.0,3,1603261,2015.0
214105,E,3,4.0, ,1603267,2015.0
214112,3,0,4.0, ,1603269,2015.0
214116,B,6,4.0,3,1603279,2015.0
214122,E,3,4.0,3,1603280,2015.0
214127,C,3,4.0, ,1603283,2015.0
214134,D,6,4.0, ,1603292,2015.0
214140,E,3,4.0, ,1603294,2015.0
214145,E,3,4.0,1,1603299,2015.0
214151,C,3,4.0, ,1603301,2015.0
214158,B,6,4.0,3,1603303,2015.0
214163,B,6,4.0, ,1603305,2015.0
214168,H,6,4.0,1,1603307,2015.0
214173,E,3,4.0,1,1603309,2015.0
214178,E,3,4.0, ,1603316,2015.0
214185,H,6,4.0, ,1603317,2015.0
214190,E,3,4.0, ,1603319,2015.0
214195,E,3,4.0, ,1603331,2015.0
214201,C,5,4.0, ,1603332,2015.0
214206,B,6,4.0,3,1603335,2015.0
214211,C,5,4.0,1,1603338,2015.0
214219,E,3,4.0, ,1603339,2015.0
